date,mode,origin,destination,operator,available_seats,tickets_sold,avg_fare_toman,revenue_toman,searches,bookings,cancellations
1403-01-15,Bus,Tehran,Kerman,Ham-o-Safar,1557,723,2534700,1832588100,1970,766,42
1403-01-15,Train,Tehran,Kerman,RAJA,2576,902,3337000,3009974000,2435,956,53
1403-01-15,Train,Tehran,Kerman,Fadak,2447,856,3400900,2911170400,2441,907,50
1403-01-15,Train,Tehran,Kerman,Noor,2179,763,3464800,2643642400,2185,809,44
1403-01-15,Train,Tehran,Kerman,Bon Rail,2019,707,3528700,2494790900,1927,749,41
1403-01-15,Train,Tehran,Kerman,Joopar,2113,740,3592600,2658524000,1897,784,43
1403-01-15,Bus,Tehran,Qom,Seir-o-Safar,1987,1465,932480,1366083200,3956,1553,85
1403-01-15,Bus,Tehran,Qom,Iran Peyma,1888,1206,950336,1146105216,3439,1278,70
1403-01-15,Bus,Tehran,Qom,Royal Safar,1681,1304,968192,1262522368,3734,1382,76
1403-01-15,Bus,Tehran,Qom,Ham-o-Safar,1557,1131,986048,1115220288,3082,1199,66
1403-01-15,Train,Tehran,Qom,RAJA,2576,902,1410000,1271820000,2435,956,53
1403-01-15,Train,Tehran,Qom,Fadak,2447,856,1437000,1230072000,2441,907,50
1403-01-15,Train,Tehran,Qom,Noor,2179,763,1464000,1117032000,2185,809,44
1403-01-15,Train,Tehran,Qom,Bon Rail,2019,707,1491000,1054137000,1927,749,41
1403-01-15,Train,Tehran,Qom,Joopar,2113,740,1518000,1123320000,1897,784,43
1403-01-15,Bus,Mashhad,Isfahan,Seir-o-Safar,1987,695,2307700,1603851500,1877,737,41
1403-01-15,Bus,Mashhad,Isfahan,Iran Peyma,1888,853,2351890,2006162170,2432,904,50
1403-01-15,Bus,Mashhad,Isfahan,Royal Safar,1681,647,2396080,1550263760,1853,686,38
1403-01-15,Bus,Mashhad,Isfahan,Ham-o-Safar,1557,743,2440270,1813120610,2025,788,43
1403-01-15,Train,Mashhad,Isfahan,RAJA,2576,902,3219500,2903989000,2435,956,53
1403-01-15,Train,Mashhad,Isfahan,Fadak,2447,856,3281150,2808664400,2441,907,50
1403-01-15,Train,Mashhad,Isfahan,Noor,2179,763,3342800,2550556400,2185,809,44
1403-01-15,Train,Mashhad,Isfahan,Bon Rail,2019,707,3404450,2406946150,1927,749,41
1403-01-15,Train,Mashhad,Isfahan,Joopar,2113,740,3466100,2564914000,1897,784,43
1403-01-15,Bus,Mashhad,Shiraz,Seir-o-Safar,1987,722,2664900,1924057800,1949,765,42
1403-01-15,Bus,Mashhad,Shiraz,Iran Peyma,1888,661,2715930,1795229730,1885,701,39
1403-01-15,Bus,Mashhad,Shiraz,Royal Safar,1681,668,2766960,1848329280,1913,708,39
1403-01-15,Bus,Mashhad,Shiraz,Ham-o-Safar,1557,545,2817990,1535804550,1485,578,32
1403-01-15,Train,Mashhad,Shiraz,RAJA,2576,902,3689500,3327929000,2435,956,53
1403-01-15,Train,Mashhad,Shiraz,Fadak,2447,856,3760150,3218688400,2441,907,50
1403-01-15,Train,Mashhad,Shiraz,Noor,2179,763,3830800,2922900400,2185,809,44
1403-01-15,Train,Mashhad,Shiraz,Bon Rail,2019,707,3901450,2758325150,1927,749,41
1403-01-15,Train,Mashhad,Shiraz,Joopar,2113,740,3972100,2939354000,1897,784,43
1403-01-15,Bus,Mashhad,Ahvaz,Seir-o-Safar,1987,695,2754200,1914169000,1877,737,41
1403-01-15,Bus,Mashhad,Ahvaz,Iran Peyma,1888,661,2806940,1855387340,1885,701,39
1403-01-15,Bus,Mashhad,Ahvaz,Royal Safar,1681,588,2859680,1681491840,1684,623,34
1403-01-15,Bus,Mashhad,Ahvaz,Ham-o-Safar,1557,564,2912420,1642604880,1537,598,33
1403-01-15,Train,Mashhad,Ahvaz,RAJA,2576,902,3807000,3433914000,2435,956,53
1403-01-15,Train,Mashhad,Ahvaz,Fadak,2447,856,3879900,3321194400,2441,907,50
1403-01-15,Train,Mashhad,Ahvaz,Noor,2179,763,3952800,3015986400,2185,809,44
1403-01-15,Train,Mashhad,Ahvaz,Bon Rail,2019,707,4025700,2846169900,1927,749,41
1403-01-15,Train,Mashhad,Ahvaz,Joopar,2113,740,4098600,3032964000,1897,784,43
1403-01-15,Bus,Isfahan,Shiraz,Seir-o-Safar,1987,956,1289680,1232934080,2581,1013,56
1403-01-15,Bus,Isfahan,Shiraz,Iran Peyma,1888,856,1314376,1125105856,2441,907,50
1403-01-15,Bus,Isfahan,Shiraz,Royal Safar,1681,919,1339072,1230607168,2632,974,54
1403-01-15,Bus,Isfahan,Shiraz,Ham-o-Safar,1557,735,1363768,1002369480,2003,779,43
1403-01-15,Train,Isfahan,Shiraz,RAJA,2576,902,1880000,1695760000,2435,956,53
1403-01-15,Train,Isfahan,Shiraz,Fadak,2447,856,1916000,1640096000,2441,907,50
1403-01-15,Train,Isfahan,Shiraz,Noor,2179,763,1952000,1489376000,2185,809,44
1403-01-15,Train,Isfahan,Shiraz,Bon Rail,2019,707,1988000,1405516000,1927,749,41
1403-01-15,Train,Isfahan,Shiraz,Joopar,2113,740,2024000,1497760000,1897,784,43
1403-02-15,Bus,Tehran,Mashhad,Seir-o-Safar,1888,1321,2246686,2967872206,3767,1400,77
1403-02-15,Bus,Tehran,Mashhad,Iran Peyma,1681,1247,2289166,2854590002,3571,1322,73
1403-02-15,Bus,Tehran,Mashhad,Royal Safar,1557,1119,2331646,2609111874,3050,1186,65
1403-02-15,Bus,Tehran,Mashhad,Ham-o-Safar,1630,1375,2374126,3264423250,3525,1458,80
1403-02-15,Train,Tehran,Mashhad,RAJA,2447,856,3141553,2689169368,2441,907,50
1403-02-15,Train,Tehran,Mashhad,Fadak,2179,763,3200953,2442327139,2185,809,44
1403-02-15,Train,Tehran,Mashhad,Noor,2019,707,3260353,2305069571,1927,749,41
1403-02-15,Train,Tehran,Mashhad,Bon Rail,2113,740,3319753,2456617220,1897,784,43
1403-02-15,Train,Tehran,Mashhad,Joopar,2375,831,3379153,2808076143,2100,881,48
1403-02-15,Train,Tehran,Mashhad,Rail Seir Kosar,2565,898,3438553,3087820594,2379,952,52
1403-02-15,Bus,Tehran,Shiraz,Seir-o-Safar,1888,1248,1884932,2352395136,3559,1323,73
1403-02-15,Bus,Tehran,Shiraz,Iran Peyma,1681,935,1920572,1795734820,2678,991,55
1403-02-15,Bus,Tehran,Shiraz,Royal Safar,1557,1123,1956212,2196826076,3061,1190,65
1403-02-15,Bus,Tehran,Shiraz,Ham-o-Safar,1630,994,1991852,1979900888,2548,1054,58
1403-02-15,Train,Tehran,Shiraz,RAJA,2447,856,2665560,2281719360,2441,907,50
1403-02-15,Train,Tehran,Shiraz,Fadak,2179,763,2715960,2072277480,2185,809,44
1403-02-15,Train,Tehran,Shiraz,Noor,2019,707,2766360,1955816520,1927,749,41
1403-02-15,Train,Tehran,Shiraz,Bon Rail,2113,740,2816760,2084402400,1897,784,43
1403-02-15,Train,Tehran,Shiraz,Joopar,2375,831,2867160,2382609960,2100,881,48
1403-02-15,Bus,Tehran,Isfahan,Seir-o-Safar,1888,972,1432738,1392621336,2772,1030,57
1403-02-15,Bus,Tehran,Isfahan,Iran Peyma,1681,1079,1459828,1575154412,3090,1144,63
1403-02-15,Bus,Tehran,Isfahan,Royal Safar,1557,847,1486918,1259419546,2308,898,49
1403-02-15,Bus,Tehran,Isfahan,Ham-o-Safar,1630,1146,1514008,1735053168,2938,1215,67
1403-02-15,Train,Tehran,Isfahan,RAJA,2447,856,2070569,1772407064,2441,907,50
1403-02-15,Train,Tehran,Isfahan,Fadak,2179,763,2109719,1609715597,2185,809,44
1403-02-15,Train,Tehran,Isfahan,Noor,2019,707,2148869,1519250383,1927,749,41
1403-02-15,Train,Tehran,Isfahan,Bon Rail,2113,740,2188019,1619134060,1897,784,43
1403-02-15,Train,Tehran,Isfahan,Joopar,2375,831,2227169,1850777439,2100,881,48
1403-02-15,Bus,Tehran,Tabriz,Seir-o-Safar,1888,1048,1794493,1880628664,2988,1111,61
1403-02-15,Bus,Tehran,Tabriz,Iran Peyma,1681,867,1828423,1585242741,2483,919,51
1403-02-15,Bus,Tehran,Tabriz,Royal Safar,1557,979,1862353,1823243587,2668,1038,57
1403-02-15,Bus,Tehran,Tabriz,Ham-o-Safar,1630,879,1896283,1666832757,2254,932,51
1403-02-15,Train,Tehran,Tabriz,RAJA,2447,856,2546562,2179857072,2441,907,50
1403-02-15,Train,Tehran,Tabriz,Fadak,2179,763,2594712,1979765256,2185,809,44
1403-02-15,Train,Tehran,Tabriz,Noor,2019,707,2642862,1868503434,1927,749,41
1403-02-15,Train,Tehran,Tabriz,Bon Rail,2113,740,2691012,1991348880,1897,784,43
1403-02-15,Train,Tehran,Tabriz,Joopar,2375,831,2739162,2276243622,2100,881,48
1403-02-15,Bus,Tehran,Rasht,Seir-o-Safar,1888,947,1215686,1151254642,2700,1004,55
1403-02-15,Bus,Tehran,Rasht,Iran Peyma,1681,907,1238672,1123475504,2597,961,53
1403-02-15,Bus,Tehran,Rasht,Royal Safar,1557,803,1261658,1013111374,2188,851,47
1403-02-15,Bus,Tehran,Rasht,Ham-o-Safar,1630,998,1284644,1282074712,2559,1058,58
1403-02-15,Train,Tehran,Rasht,RAJA,2447,856,1784973,1527936888,2441,907,50
1403-02-15,Train,Tehran,Rasht,Fadak,2179,763,1818723,1387685649,2185,809,44
1403-02-15,Train,Tehran,Rasht,Noor,2019,707,1852473,1309698411,1927,749,41
1403-02-15,Train,Tehran,Rasht,Bon Rail,2113,740,1886223,1395805020,1897,784,43
1403-02-15,Train,Tehran,Rasht,Joopar,2375,831,1919973,1595497563,2100,881,48
1403-02-15,Bus,Tehran,Ahvaz,Seir-o-Safar,1888,838,2101984,1761462592,2390,888,49
1403-02-15,Bus,Tehran,Ahvaz,Iran Peyma,1681,825,2141728,1766925600,2363,875,48
1403-02-15,Bus,Tehran,Ahvaz,Royal Safar,1557,795,2181472,1734270240,2167,843,46
1403-02-15,Bus,Tehran,Ahvaz,Ham-o-Safar,1630,819,2221216,1819175904,2100,868,48
1403-02-15,Train,Tehran,Ahvaz,RAJA,2447,856,2951155,2526188680,2441,907,50
1403-02-15,Train,Tehran,Ahvaz,Fadak,2179,763,3006955,2294306665,2185,809,44
1403-02-15,Train,Tehran,Ahvaz,Noor,2019,707,3062755,2165367785,1927,749,41
1403-02-15,Train,Tehran,Ahvaz,Bon Rail,2113,740,3118555,2307730700,1897,784,43
1403-02-15,Train,Tehran,Ahvaz,Joopar,2375,831,3174355,2637889005,2100,881,48
1403-02-15,Bus,Tehran,Kerman,Seir-o-Safar,1888,787,2427563,1910492081,2244,834,46
1403-02-15,Bus,Tehran,Kerman,Iran Peyma,1681,639,2473463,1580542857,1830,677,37
1403-02-15,Bus,Tehran,Kerman,Royal Safar,1557,674,2519363,1698050662,1837,714,39
1403-02-15,Bus,Tehran,Kerman,Ham-o-Safar,1630,710,2565263,1821336730,1820,753,41
1403-02-15,Train,Tehran,Kerman,RAJA,2447,856,3379549,2892893944,2441,907,50
1403-02-15,Train,Tehran,Kerman,Fadak,2179,763,3443449,2627351587,2185,809,44
1403-02-15,Train,Tehran,Kerman,Noor,2019,707,3507349,2479695743,1927,749,41
1403-02-15,Train,Tehran,Kerman,Bon Rail,2113,740,3571249,2642724260,1897,784,43
1403-02-15,Train,Tehran,Kerman,Joopar,2375,831,3635149,3020808819,2100,881,48
1403-02-15,Bus,Tehran,Qom,Seir-o-Safar,1888,1063,944370,1003865310,3031,1127,62
1403-02-15,Bus,Tehran,Qom,Iran Peyma,1681,1200,962226,1154671200,3436,1272,70
1403-02-15,Bus,Tehran,Qom,Royal Safar,1557,988,980082,968321016,2693,1047,58
1403-02-15,Bus,Tehran,Qom,Ham-o-Safar,1630,1211,997938,1208502918,3105,1284,71
1403-02-15,Train,Tehran,Qom,RAJA,2447,856,1427978,1222349168,2441,907,50
1403-02-15,Train,Tehran,Qom,Fadak,2179,763,1454978,1110148214,2185,809,44
1403-02-15,Train,Tehran,Qom,Noor,2019,707,1481978,1047758446,1927,749,41
1403-02-15,Train,Tehran,Qom,Bon Rail,2113,740,1508978,1116643720,1897,784,43
1403-02-15,Train,Tehran,Qom,Joopar,2375,831,1535978,1276397718,2100,881,48
1403-02-15,Bus,Mashhad,Isfahan,Seir-o-Safar,1888,769,2337125,1797249125,2193,815,45
1403-02-15,Bus,Mashhad,Isfahan,Iran Peyma,1681,588,2381315,1400213220,1684,623,34
1403-02-15,Bus,Mashhad,Isfahan,Royal Safar,1557,682,2425505,1654194410,1859,723,40
1403-02-15,Bus,Mashhad,Isfahan,Ham-o-Safar,1630,621,2469695,1533680595,1592,658,36
1403-02-15,Train,Mashhad,Isfahan,RAJA,2447,856,3260551,2791031656,2441,907,50
1403-02-15,Train,Mashhad,Isfahan,Fadak,2179,763,3322201,2534839363,2185,809,44
1403-02-15,Train,Mashhad,Isfahan,Noor,2019,707,3383851,2392382657,1927,749,41
1403-02-15,Train,Mashhad,Isfahan,Bon Rail,2113,740,3445501,2549670740,1897,784,43
1403-02-15,Train,Mashhad,Isfahan,Joopar,2375,831,3507151,2914442481,2100,881,48
1403-02-15,Bus,Mashhad,Shiraz,Seir-o-Safar,1888,661,2698879,1783959019,1885,701,39
1403-02-15,Bus,Mashhad,Shiraz,Iran Peyma,1681,601,2749909,1652695309,1721,637,35
1403-02-15,Bus,Mashhad,Shiraz,Royal Safar,1557,545,2800939,1526511755,1485,578,32
1403-02-15,Bus,Mashhad,Shiraz,Ham-o-Safar,1630,629,2851969,1793888501,1613,667,37
1403-02-15,Train,Mashhad,Shiraz,RAJA,2447,856,3736544,3198481664,2441,907,50
1403-02-15,Train,Mashhad,Shiraz,Fadak,2179,763,3807194,2904889022,2185,809,44
1403-02-15,Train,Mashhad,Shiraz,Noor,2019,707,3877844,2741635708,1927,749,41
1403-02-15,Train,Mashhad,Shiraz,Bon Rail,2113,740,3948494,2921885560,1897,784,43
1403-02-15,Train,Mashhad,Shiraz,Joopar,2375,831,4019144,3339908664,2100,881,48
1403-02-15,Bus,Mashhad,Ahvaz,Seir-o-Safar,1888,661,2789318,1843739198,1885,701,39
1403-02-15,Bus,Mashhad,Ahvaz,Iran Peyma,1681,588,2842058,1671130104,1684,623,34
1403-02-15,Bus,Mashhad,Ahvaz,Royal Safar,1557,545,2894798,1577664910,1485,578,32
1403-02-15,Bus,Mashhad,Ahvaz,Ham-o-Safar,1630,571,2947538,1683044198,1464,605,33
1403-02-15,Train,Mashhad,Ahvaz,RAJA,2447,856,3855542,3300343952,2441,907,50
1403-02-15,Train,Mashhad,Ahvaz,Fadak,2179,763,3928442,2997401246,2185,809,44
1403-02-15,Train,Mashhad,Ahvaz,Noor,2019,707,4001342,2828948794,1927,749,41
1403-02-15,Train,Mashhad,Ahvaz,Bon Rail,2113,740,4074242,3014939080,1897,784,43
1403-02-15,Train,Mashhad,Ahvaz,Joopar,2375,831,4147142,3446275002,2100,881,48
1403-02-15,Bus,Isfahan,Shiraz,Seir-o-Safar,1888,794,1306124,1037062456,2264,842,46
1403-02-15,Bus,Isfahan,Shiraz,Iran Peyma,1681,807,1330820,1073971740,2311,855,47
1403-02-15,Bus,Isfahan,Shiraz,Royal Safar,1557,677,1355516,917684332,1845,718,39
1403-02-15,Bus,Isfahan,Shiraz,Ham-o-Safar,1630,878,1380212,1211826136,2251,931,51
1403-02-15,Train,Isfahan,Shiraz,RAJA,2447,856,1903971,1629799176,2441,907,50
1403-02-15,Train,Isfahan,Shiraz,Fadak,2179,763,1939971,1480197873,2185,809,44
1403-02-15,Train,Isfahan,Shiraz,Noor,2019,707,1975971,1397011497,1927,749,41
1403-02-15,Train,Isfahan,Shiraz,Bon Rail,2113,740,2011971,1488858540,1897,784,43
1403-02-15,Train,Isfahan,Shiraz,Joopar,2375,831,2047971,1701863901,2100,881,48
1403-03-15,Bus,Tehran,Mashhad,Seir-o-Safar,1681,1298,2268047,2943925006,3717,1376,76
1403-03-15,Bus,Tehran,Mashhad,Iran Peyma,1557,1249,2310527,2885848223,3404,1324,73
1403-03-15,Bus,Tehran,Mashhad,Royal Safar,1630,1445,2353007,3400095115,3705,1532,84
1403-03-15,Bus,Tehran,Mashhad,Ham-o-Safar,1832,1509,2395487,3614789883,3814,1600,88
1403-03-15,Train,Tehran,Mashhad,RAJA,2179,763,3171421,2419794223,2185,809,44
1403-03-15,Train,Tehran,Mashhad,Fadak,2019,707,3230821,2284190447,1927,749,41
1403-03-15,Train,Tehran,Mashhad,Noor,2113,740,3290221,2434763540,1897,784,43
1403-03-15,Train,Tehran,Mashhad,Bon Rail,2375,831,3349621,2783535051,2100,881,48
1403-03-15,Train,Tehran,Mashhad,Joopar,2565,898,3409021,3061300858,2379,952,52
1403-03-15,Train,Tehran,Mashhad,Rail Seir Kosar,2507,877,3468421,3041805217,2472,930,51
1403-03-15,Bus,Tehran,Shiraz,Seir-o-Safar,1681,1016,1902853,1933298648,2909,1077,59
1403-03-15,Bus,Tehran,Shiraz,Iran Peyma,1557,1213,1938493,2351392009,3306,1286,71
1403-03-15,Bus,Tehran,Shiraz,Royal Safar,1630,1062,1974133,2096529246,2723,1126,62
1403-03-15,Bus,Tehran,Shiraz,Ham-o-Safar,1832,1536,2009773,3087011328,3882,1628,90
1403-03-15,Train,Tehran,Shiraz,RAJA,2179,763,2690903,2053158989,2185,809,44
1403-03-15,Train,Tehran,Shiraz,Fadak,2019,707,2741303,1938101221,1927,749,41
1403-03-15,Train,Tehran,Shiraz,Noor,2113,740,2791703,2065860220,1897,784,43
1403-03-15,Train,Tehran,Shiraz,Bon Rail,2375,831,2842103,2361787593,2100,881,48
1403-03-15,Train,Tehran,Shiraz,Joopar,2565,898,2892503,2597467694,2379,952,52
1403-03-15,Bus,Tehran,Isfahan,Seir-o-Safar,1681,1140,1446360,1648850400,3265,1208,66
1403-03-15,Bus,Tehran,Isfahan,Iran Peyma,1557,926,1473450,1364414700,2524,982,54
1403-03-15,Bus,Tehran,Isfahan,Royal Safar,1630,1234,1500540,1851666360,3164,1308,72
1403-03-15,Bus,Tehran,Isfahan,Ham-o-Safar,1832,1161,1527630,1773578430,2934,1231,68
1403-03-15,Train,Tehran,Isfahan,RAJA,2179,763,2090255,1594864565,2185,809,44
1403-03-15,Train,Tehran,Isfahan,Fadak,2019,707,2129405,1505489335,1927,749,41
1403-03-15,Train,Tehran,Isfahan,Noor,2113,740,2168555,1604730700,1897,784,43
1403-03-15,Train,Tehran,Isfahan,Bon Rail,2375,831,2207705,1834602855,2100,881,48
1403-03-15,Train,Tehran,Isfahan,Joopar,2565,898,2246855,2017675790,2379,952,52
1403-03-15,Bus,Tehran,Tabriz,Seir-o-Safar,1681,964,1811554,1746338056,2761,1022,56
1403-03-15,Bus,Tehran,Tabriz,Iran Peyma,1557,1033,1845484,1906384972,2815,1095,60
1403-03-15,Bus,Tehran,Tabriz,Royal Safar,1630,968,1879414,1819272752,2482,1026,56
1403-03-15,Bus,Tehran,Tabriz,Ham-o-Safar,1832,1360,1913344,2602147840,3437,1442,79
1403-03-15,Train,Tehran,Tabriz,RAJA,2179,763,2570773,1961499799,2185,809,44
1403-03-15,Train,Tehran,Tabriz,Fadak,2019,707,2618923,1851578561,1927,749,41
1403-03-15,Train,Tehran,Tabriz,Noor,2113,740,2667073,1973634020,1897,784,43
1403-03-15,Train,Tehran,Tabriz,Bon Rail,2375,831,2715223,2256350313,2100,881,48
1403-03-15,Train,Tehran,Tabriz,Joopar,2565,898,2763373,2481508954,2379,952,52
1403-03-15,Bus,Tehran,Rasht,Seir-o-Safar,1681,945,1227244,1159745580,2706,1002,55
1403-03-15,Bus,Tehran,Rasht,Iran Peyma,1557,895,1250230,1118955850,2439,949,52
1403-03-15,Bus,Tehran,Rasht,Royal Safar,1630,1051,1273216,1338150016,2695,1114,61
1403-03-15,Bus,Tehran,Rasht,Ham-o-Safar,1832,1083,1296202,1403786766,2737,1148,63
1403-03-15,Train,Tehran,Rasht,RAJA,2179,763,1801944,1374883272,2185,809,44
1403-03-15,Train,Tehran,Rasht,Fadak,2019,707,1835694,1297835658,1927,749,41
1403-03-15,Train,Tehran,Rasht,Noor,2113,740,1869444,1383388560,1897,784,43
1403-03-15,Train,Tehran,Rasht,Bon Rail,2375,831,1903194,1581554214,2100,881,48
1403-03-15,Train,Tehran,Rasht,Joopar,2565,898,1936944,1739375712,2379,952,52
1403-03-15,Bus,Tehran,Ahvaz,Seir-o-Safar,1681,918,2121969,1947967542,2629,973,54
1403-03-15,Bus,Tehran,Ahvaz,Iran Peyma,1557,829,2161713,1792060077,2259,879,48
1403-03-15,Bus,Tehran,Ahvaz,Royal Safar,1630,916,2201457,2016534612,2348,971,53
1403-03-15,Bus,Tehran,Ahvaz,Ham-o-Safar,1832,1117,2241201,2503421517,2823,1184,65
1403-03-15,Train,Tehran,Ahvaz,RAJA,2179,763,2979214,2273140282,2185,809,44
1403-03-15,Train,Tehran,Ahvaz,Fadak,2019,707,3035014,2145754898,1927,749,41
1403-03-15,Train,Tehran,Ahvaz,Noor,2113,740,3090814,2287202360,1897,784,43
1403-03-15,Train,Tehran,Ahvaz,Bon Rail,2375,831,3146614,2614836234,2100,881,48
1403-03-15,Train,Tehran,Ahvaz,Joopar,2565,898,3202414,2875767772,2379,952,52
1403-03-15,Bus,Tehran,Kerman,Seir-o-Safar,1681,669,2450644,1639480836,1916,709,39
1403-03-15,Bus,Tehran,Kerman,Iran Peyma,1557,749,2496544,1869911456,2041,794,44
1403-03-15,Bus,Tehran,Kerman,Royal Safar,1630,741,2542444,1883951004,1900,785,43
1403-03-15,Bus,Tehran,Kerman,Ham-o-Safar,1832,907,2588344,2347628008,2292,961,53
1403-03-15,Train,Tehran,Kerman,RAJA,2179,763,3411681,2603112603,2185,809,44
1403-03-15,Train,Tehran,Kerman,Fadak,2019,707,3475581,2457235767,1927,749,41
